time,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-11-04 00:00:00,28.2,80,18.0
2025-11-04 01:00:00,28.1,79,16.4
2025-11-04 02:00:00,28.0,79,15.6
2025-11-04 03:00:00,27.7,82,14.3
2025-11-04 04:00:00,27.4,84,14.5
2025-11-04 05:00:00,27.3,86,19.9
2025-11-04 06:00:00,27.2,85,23.4
2025-11-04 07:00:00,27.2,83,24.3
2025-11-04 08:00:00,27.1,83,23.0
2025-11-04 09:00:00,27.6,80,22.0
2025-11-04 10:00:00,28.1,76,23.4
2025-11-04 11:00:00,28.3,74,24.8
2025-11-04 12:00:00,28.3,74,27.2
2025-11-04 13:00:00,28.2,75,30.3
2025-11-04 14:00:00,27.8,79,31.3
2025-11-04 15:00:00,28.5,72,30.9
2025-11-04 16:00:00,28.4,73,30.2
2025-11-04 17:00:00,27.8,79,31.3
2025-11-04 18:00:00,27.8,78,31.6
2025-11-04 19:00:00,27.7,78,30.8
2025-11-04 20:00:00,27.7,79,27.2
2025-11-04 21:00:00,27.8,78,25.9
2025-11-04 22:00:00,27.3,80,28.1
2025-11-04 23:00:00,26.8,83,25.9
2025-11-05 00:00:00,26.5,85,23.8
2025-11-05 01:00:00,26.4,86,22.1
2025-11-05 02:00:00,26.3,86,20.6
2025-11-05 03:00:00,26.2,87,20.6
2025-11-05 04:00:00,26.1,88,20.6
2025-11-05 05:00:00,26.2,88,20.6
2025-11-05 06:00:00,26.2,88,20.7
2025-11-05 07:00:00,26.3,88,20.3
2025-11-05 08:00:00,26.4,88,20.2
2025-11-05 09:00:00,26.6,86,21.6
2025-11-05 10:00:00,26.8,85,21.9
2025-11-05 11:00:00,26.8,86,23.2
2025-11-05 12:00:00,26.8,85,26.1
2025-11-05 13:00:00,26.9,85,27.9
2025-11-05 14:00:00,27.0,85,29.5
2025-11-05 15:00:00,27.2,83,30.6
2025-11-05 16:00:00,27.2,83,29.8
2025-11-05 17:00:00,27.2,84,29.6
2025-11-05 18:00:00,27.2,84,27.5
2025-11-05 19:00:00,27.3,84,27.5
2025-11-05 20:00:00,27.3,84,25.8
2025-11-05 21:00:00,27.1,84,26.8
2025-11-05 22:00:00,27.0,86,26.0
2025-11-05 23:00:00,26.9,86,23.2
2025-11-06 00:00:00,26.8,86,23.2
2025-11-06 01:00:00,26.7,86,21.7
2025-11-06 02:00:00,26.6,86,20.4
2025-11-06 03:00:00,26.6,86,21.1
2025-11-06 04:00:00,26.6,86,22.8
2025-11-06 05:00:00,26.5,86,22.2
2025-11-06 06:00:00,26.5,86,21.6
2025-11-06 07:00:00,26.5,87,21.3
2025-11-06 08:00:00,26.5,87,20.3
2025-11-06 09:00:00,26.6,86,19.9
2025-11-06 10:00:00,26.8,85,21.3
2025-11-06 11:00:00,27.0,83,23.2
2025-11-06 12:00:00,26.9,86,24.1
2025-11-06 13:00:00,27.0,85,25.1
2025-11-06 14:00:00,27.1,84,27.1
2025-11-06 15:00:00,27.2,83,27.3
2025-11-06 16:00:00,27.3,82,26.6
2025-11-06 17:00:00,27.3,82,23.5
